Unique ID,Title,Categories,Proposed URL,Source,Owner,Status
1,Apple Pie,Baked Desserts,amuelb.github.io/dessert_types/baked_desserts/pies/apple_pie,http://allrecipes.com/recipes/desserts/pies/,Amy,Incomplete
2,Baked Desserts,Types of Desserts,amuelb.github.io/dessert_types/baked_desserts,http://allrecipes.com/recipes/desserts/,Amy,Incomplete
3,Cake,Baked Desserts,amuelb.github.io/dessert_types/baked_desserts/cake,http://www.urbanspoon.com/f/250/26504/Ottawa/Bakeries,Amy,Incomplete
4,Peanut Free,Types of Desserts,amuelb.github.io/dessert_types/peanut_free_desserts,http://www.womansday.com/food-recipes/dessert-recipes/10-nut-free-desserts-105923,Amy,Incomplete
5,Lowfat Desserts,Types of Desserts,amuelb.github.io/dessert_types/lowfat_desserts,http://www.recipe4living.com/articles/top_10_sugar_free_dessert_recipes.htm,Amy,Incomplete
6,Sorbet,Frozen Desserts,amuelb.github.io/dessert_types/frozen_desserts/ice_creams/sorbet,http://www.southernliving.com/food/entertaining/homemade-ice-cream-recipes-00417000068176/,Amy,Incomplete
7,Jello,Peanut Free,amuelb.github.io/dessert_types/peanut_free_desserts/jello,http://www.tasteofhome.com/recipes/course/desserts/jello-desserts,Amy,Incomplete
8,Frozen Desserts,Types of Desserts,amuelb.github.io/dessert_types/frozen_desserts,http://www.kraftcanada.com/en/recipes/dessert/frozendesserts.aspx,Amy,Incomplete
9,Liqueur Desserts,Types of Desserts,amuelb.github.io/dessert_types/liqueur_desserts,http://baking.about.com/od/sportsandgameparties/tp/liquorliqueurs.htm,Amy,Incomplete
10,Parfait,Lowfat Desserts,amuelb.github.io/dessert_types/lowfat_desserts/parfait,http://www.eatingwell.com/recipes_menus/collections/15_minute_fruit_desserts,Amy,Incomplete
11,Desserts for Occasions,Types of Desserts,amuelb.github.io/dessert_types/desserts_occasions,http://www.theatlantic.com/health/archive/2011/01/12-desserts-for-special-occasions/68095/,Amy,Incomplete
12,Milk Shakes and Floats,Types of Desserts,amuelb.github.io/dessert_types/milkshakes_floats,http://allrecipes.com/recipes/drinks/shakes-and-floats/,Amy,Incomplete
13,Pastry,Baked Desserts,amuelb.github.io/dessert_types/baked_desserts/pastry,http://www.simplyrecipes.com/recipes/type/bakery/,Amy,Incomplete
14,Seasonal,Types of Desserts,amuelb.github.io/dessert_types/seasonal_desserts,http://www.kraftrecipes.com/recipes/dessert/seasonal-desserts.aspx,Amy,Incomplete
15,Trifle,Liqueur Desserts,amuelb.github.io/dessert_types/liqueur_desserts/wine/trifle,http://www.food.com/recipes/beginner-cook-desserts,Amy,Incomplete
